,ZIP_CODE
0,00501
1,00544
2,00601
3,00602
4,00603
5,00604
6,00605
7,00606
8,00610
9,00611
10,00612
11,00613
12,00614
13,00616
14,00617
15,00622
16,00623
17,00624
18,00627
19,00631
20,00636
21,00637
22,00638
23,00641
24,00646
25,00647
26,00650
27,00652
28,00653
29,00656
30,00659
31,00660
32,00662
33,00664
34,00667
35,00669
36,00670
37,00674
38,00676
39,00677
40,00678
41,00680
42,00681
43,00682
44,00683
45,00685
46,00687
47,00688
48,00690
49,00692
50,00693
51,00694
52,00698
53,00703
54,00704
55,00705
56,00707
57,00714
58,00715
59,00716
60,00717
61,00718
62,00719
63,00720
64,00721
65,00723
66,00725
67,00726
68,00727
69,00728
70,00729
71,00730
72,00731
73,00732
74,00733
75,00734
76,00735
77,00736
78,00737
79,00738
80,00739
81,00740
82,00741
83,00742
84,00744
85,00745
86,00751
87,00754
88,00757
89,00765
90,00766
91,00767
92,00769
93,00771
94,00772
95,00773
96,00775
97,00777
98,00778
99,00780
100,00782
101,00783
102,00784
103,00785
104,00786
105,00791
106,00792
107,00794
108,00795
109,00801
110,00802
111,00803
112,00804
113,00805
114,00820
115,00821
116,00822
117,00823
118,00824
119,00830
120,00831
121,00840
122,00841
123,00850
124,00851
125,00901
126,00902
127,00906
128,00907
129,00908
130,00909
131,00910
132,00911
133,00912
134,00913
135,00914
136,00915
137,00916
138,00917
139,00918
140,00919
141,00920
142,00921
143,00922
144,00923
145,00924
146,00925
147,00926
148,00927
149,00928
150,00929
151,00930
152,00931
153,00933
154,00934
155,00935
156,00936
157,00937
158,00939
159,00940
160,00949
161,00950
162,00951
163,00952
164,00953
165,00954
166,00955
167,00956
168,00957
169,00958
170,00959
171,00960
172,00961
173,00962
174,00963
175,00965
176,00966
177,00968
178,00969
179,00970
180,00971
181,00975
182,00976
183,00977
184,00978
185,00979
186,00981
187,00982
188,00983
189,00984
190,00985
191,00986
192,00987
193,00988
194,01001
195,01002
196,01003
197,01004
198,01005
199,01007
200,01008
201,01009
202,01010
203,01011
204,01012
205,01013
206,01014
207,01020
208,01021
209,01022
210,01026
211,01027
212,01028
213,01029
214,01030
215,01031
216,01032
217,01033
218,01034
219,01035
220,01036
221,01037
222,01038
223,01039
224,01040
225,01041
226,01050
227,01053
228,01054
229,01056
230,01057
231,01059
232,01060
233,01061
234,01062
235,01063
236,01066
237,01068
238,01069
239,01070
240,01071
241,01072
242,01073
243,01074
244,01075
245,01077
246,01079
247,01080
248,01081
249,01082
250,01083
251,01084
252,01085
253,01086
254,01088
255,01089
256,01090
257,01092
258,01093
259,01094
260,01095
261,01096
262,01097
263,01098
264,01101
265,01102
266,01103
267,01104
268,01105
269,01106
270,01107
271,01108
272,01109
273,01111
274,01115
275,01116
276,01118
277,01119
278,01128
279,01129
280,01138
281,01139
282,01144
283,01151
284,01152
285,01199
286,01201
287,01202
288,01203
289,01220
290,01222
291,01223
292,01224
293,01225
294,01226
295,01227
296,01229
297,01230
298,01235
299,01236
300,01237
301,01238
302,01240
303,01242
304,01243
305,01244
306,01245
307,01247
308,01252
309,01253
310,01254
311,01255
312,01256
313,01257
314,01258
315,01259
316,01260
317,01262
318,01263
319,01264
320,01266
321,01267
322,01270
323,01301
324,01302
325,01330
326,01331
327,01337
328,01338
329,01339
330,01340
331,01341
332,01342
333,01343
334,01344
335,01346
336,01347
337,01349
338,01350
339,01351
340,01354
341,01355
342,01360
343,01364
344,01366
345,01367
346,01368
347,01370
348,01373
349,01375
350,01376
351,01378
352,01379
353,01380
354,01420
355,01430
356,01431
357,01432
358,01434
359,01436
360,01438
361,01440
362,01441
363,01450
364,01451
365,01452
366,01453
367,01460
368,01462
369,01463
370,01464
371,01467
372,01468
373,01469
374,01470
375,01471
376,01472
377,01473
378,01474
379,01475
380,01501
381,01503
382,01504
383,01505
384,01506
385,01507
386,01508
387,01509
388,01510
389,01515
390,01516
391,01518
392,01519
393,01520
394,01521
395,01522
396,01523
397,01524
398,01525
399,01526
400,01527
401,01529
402,01531
403,01532
404,01534
405,01535
406,01536
407,01537
408,01538
409,01540
410,01541
411,01542
412,01543
413,01545
414,01546
415,01550
416,01560
417,01561
418,01562
419,01564
420,01566
421,01568
422,01569
423,01570
424,01571
425,01581
426,01583
427,01585
